"","ï..date","state","stay_at_home","non_essential_business_closure","large_gathering_ban","school_closure","bar_restaurant_limits","primary_election_postponed","emergency_declaration","adult_under_60","adult_over_60","risk_under_60","risk_over_60","hospital_beds","beds_per_thousand","total_chc","total_chc_delivery_sites"
"181","12-Mar","Arizona","0","0",999,"0","0","0","1","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"182","13-Mar","Arizona","0","0",999,"0","0","0","1","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"183","14-Mar","Arizona","0","0",999,"0","0","0","1","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"184","15-Mar","Arizona","0","0",999,"0","0","0","1","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"185","16-Mar","Arizona","0","0",999,"1","0","0","1","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"186","17-Mar","Arizona","0","0",999,"1","0","0","1","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"187","18-Mar","Arizona","0","0",999,"1","0","0","1","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"188","19-Mar","Arizona","0","0",999,"1","1","0","1","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"189","20-Mar","Arizona","0","0",999,"1","1","0","1","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"190","21-Mar","Arizona","0","0",999,"1","1","0","1","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"191","22-Mar","Arizona","0","0",999,"1","1","0","1","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"192","23-Mar","Arizona","0","0",999,"1","1","0","1","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"193","24-Mar","Arizona","0","0",999,"1","1","0","1","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"194","25-Mar","Arizona","0","0",999,"1","1","0","1","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"195","26-Mar","Arizona","0","0",999,"1","1","0","1","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"196","22-Jan","Arkansas","0","0",999,"0","0","0","0","1,598,536","722,684","356,880","722,680","9,517","3.16","12","142"
"197","23-Jan","Arkansas","0","0",999,"0","0","0","0","1,598,536","722,684","356,880","722,680","9,517","3.16","12","142"
"198","24-Jan","Arkansas","0","0",999,"0","0","0","0","1,598,536","722,684","356,880","722,680","9,517","3.16","12","142"
"199","25-Jan","Arkansas","0","0",999,"0","0","0","0","1,598,536","722,684","356,880","722,680","9,517","3.16","12","142"
"200","26-Jan","Arkansas","0","0",999,"0","0","0","0","1,598,536","722,684","356,880","722,680","9,517","3.16","12","142"
"201","27-Jan","Arkansas","0","0",999,"0","0","0","0","1,598,536","722,684","356,880","722,680","9,517","3.16","12","142"
"202","28-Jan","Arkansas","0","0",999,"0","0","0","0","1,598,536","722,684","356,880","722,680","9,517","3.16","12","142"
"203","29-Jan","Arkansas","0","0",999,"0","0","0","0","1,598,536","722,684","356,880","722,680","9,517","3.16","12","142"
